province_,region_,families_sum,person_sum,dead_sum,injured_ill_sum,missing_sum,totally_sum,partially_sum,cost_sum,has_food_sum,has_cash_sum,has_hygiene_health_sum,has_sleeping_essentials_sum,has_shelter_support_sum,first_year,last_year,num_reports,num_typhoons,recurrence_rate,cost_per_family
ABRA,CAR,191000.0,665436.0,2.0,115.0,0.0,58.0,888.0,29463089.14,61,46,8,4,4,2021,2025,17,29,5.8,154.25701120418847
AGUSAN DEL NORTE,CARAGA,45045.0,189625.0,0.0,0.0,0.0,2876.0,9376.0,20329418.82,1,0,0,0,0,2021,2025,7,9,1.8,451.31354911754914
AGUSAN DEL SUR,CARAGA,55722.0,221391.0,0.0,0.0,0.0,167.0,707.0,6707484.86,3,0,0,0,0,2021,2024,4,5,1.25,120.37408671619828
AKLAN,6,170922.0,637351.0,8.0,2.0,1.0,273.0,9530.0,66326300.0,51,35,1,3,0,2021,2025,13,22,4.4,388.05010472613236
ALBAY,5,620755.0,2402839.0,6.0,7.0,0.0,19277.0,105509.0,153159662.39,52,2,5,6,8,2020,2025,16,25,4.166666666666667,246.73125853194898
ANTIQUE,6,245161.0,905657.0,16.0,0.0,6.0,3657.0,27281.0,129842238.65,99,74,10,19,2,2020,2025,16,26,4.333333333333333,529.6202848332321
APAYAO,CAR,49362.0,180378.0,0.0,3.0,0.0,63.0,4940.0,14887503.98,46,27,10,4,1,2020,2025,16,24,4.0,301.59847615574733
AURORA,3,102401.0,350627.0,3.0,29.0,0.0,882.0,6551.0,52230612.92,19,1,2,1,3,2020,2025,17,28,4.666666666666667,510.0595982461109
BASILAN,BARMM,1387.0,6568.0,0.0,0.0,0.0,34.0,147.0,0.0,0,0,0,0,0,2022,2025,4,10,2.5,0.0
BATAAN,3,650913.0,2550429.0,0.0,5.0,0.0,61.0,123.0,33387179.33,10,3,1,0,0,2020,2025,17,25,4.166666666666667,51.29284455833575
BATANES,2,35779.0,109887.0,0.0,27.0,0.0,266.0,2608.0,25747146.79,20,4,0,1,0,2021,2025,12,21,4.2,719.6161656278822
BATANGAS,4A,198752.0,742760.0,7.0,5.0,1.0,6665.0,56952.0,93710674.17,12,4,0,0,0,2020,2025,15,21,3.5,471.4955027873933
BENGUET,CAR,82931.0,315666.0,10.0,61.0,4.0,155.0,1085.0,34881390.54,46,32,19,11,0,2020,2025,20,28,4.666666666666667,420.60737890535506
BILIRAN,8,21732.0,83234.0,0.0,10.0,0.0,83.0,1788.0,3395283.12,8,0,0,0,0,2020,2024,9,13,2.6,156.2342683600221
BOHOL,7,436002.0,1432311.0,90.0,94.0,15.0,93635.0,206502.0,158069946.0,52,1,0,0,0,2021,2025,5,10,2.0,362.5440846601621
BUKIDNON,10,10391.0,37403.0,3.0,6.0,0.0,80.0,120.0,547650.0,1,1,4,4,2,2021,2025,6,10,2.0,52.704263304782984
BULACAN,3,1817648.0,6318463.0,8.0,17.0,0.0,48.0,335.0,170916144.16,35,2,2,0,0,2020,2025,21,31,5.166666666666667,94.0314869325634
BUTUAN CITY,CARAGA,12224.0,47267.0,0.0,0.0,0.0,29.0,29.0,3532435.0,2,0,0,0,0,2021,2023,5,5,1.6666666666666667,288.97537630890054
CAGAYAN,2,412638.0,1394519.0,7.0,3.0,1.0,2382.0,42362.0,206898335.28,167,22,46,33,28,2020,2025,20,31,5.166666666666667,501.4039794686868
CAMARINES NORTE,5,220495.0,946202.0,2.0,12.0,0.0,2229.0,17096.0,61766701.9,43,4,0,1,0,2020,2025,16,25,4.166666666666667,280.12744914850674
CAMARINES SUR,5,977433.0,4072811.0,1.0,0.0,0.0,14222.0,61601.0,172591165.55,80,11,2,5,3,2020,2025,17,25,4.166666666666667,176.57595512940532
CAMIGUIN,10,4118.0,16349.0,1.0,1.0,0.0,18.0,59.0,1321762.74,3,1,0,0,0,2021,2025,5,11,2.2,320.9720106847984
CAPIZ,6,349790.0,1289443.0,23.0,0.0,1.0,665.0,6978.0,105142305.84,50,40,7,7,6,2020,2025,10,13,2.1666666666666665,300.5869402784528
CATANDUANES,5,196439.0,713679.0,10.0,20.0,1.0,21870.0,54224.0,40457145.63,13,2,0,0,0,2020,2025,12,19,3.1666666666666665,205.95271626306388
CAVITE,4A,407462.0,1619078.0,1.0,0.0,0.0,507.0,2776.0,118066295.47,3,0,0,0,0,2020,2025,16,23,3.8333333333333335,289.7602610059343
CEBU,7,849662.0,2594151.0,58.0,362.0,11.0,127560.0,580822.0,108130582.5,61,2,0,0,0,2020,2025,12,18,3.0,127.26305577982774
COTABATO,12,115066.0,503745.0,1.0,0.0,0.0,161.0,609.0,25287633.0,11,2,2,2,2,2021,2025,9,17,3.4,219.7663341039056
COTABATO CITY,BARMM,97167.0,485835.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,2022,2024,2,3,1.0,0.0
DAGUPAN,1,234147.0,937838.0,0.0,0.0,0.0,23.0,437.0,74065983.96000001,3,0,1,0,0,2021,2025,12,21,4.2,316.3225835052339
DAVAO CITY,11,455.0,1579.0,0.0,0.0,0.0,4.0,23.0,0.0,0,0,0,0,0,2021,2024,6,11,2.75,0.0
DAVAO DE ORO,11,5218.0,17724.0,4.0,1.0,1.0,3.0,6.0,163800.0,0,1,0,0,0,2021,2025,4,4,0.8,31.391337677270986
DAVAO DEL NORTE,11,19524.0,69840.0,0.0,0.0,0.0,64.0,525.0,5907139.5,1,2,0,0,0,2021,2024,5,7,1.75,302.55785187461584
DAVAO DEL SUR,11,11.0,49.0,0.0,0.0,0.0,6.0,5.0,0.0,0,0,0,0,0,2023,2025,3,7,2.3333333333333335,0.0
DAVAO OCCIDENTAL,11,7823.0,33577.0,0.0,0.0,0.0,183.0,1082.0,1479133.3,2,0,1,1,0,2022,2025,7,15,3.75,189.07494567301546
DAVAO ORIENTAL,11,37147.0,157140.0,1.0,0.0,0.0,165.0,654.0,7982124.15,4,0,0,1,0,2022,2025,8,16,4.0,214.87937518507553
DINAGAT ISLANDS,CARAGA,53321.0,199643.0,3.0,122.0,0.0,16375.0,14308.0,124983473.58,1,6,0,0,0,2021,2025,8,13,2.6,2343.9821755030853
EASTERN SAMAR,8,343524.0,1296740.0,7.0,201.0,1.0,3230.0,22037.0,51359932.85,31,5,1,2,3,2020,2024,10,13,2.6,149.50900912308893
GUIMARAS,6,47831.0,176308.0,2.0,0.0,0.0,780.0,12988.0,10186439.98,18,11,2,2,0,2021,2025,12,22,4.4,212.96732202964606
IFUGAO,CAR,3730.0,12811.0,2.0,7.0,0.0,28.0,198.0,2190466.55,26,23,17,7,0,2020,2025,10,16,2.6666666666666665,587.2564477211796
ILOCOS NORTE,1,137644.0,547465.0,6.0,2.0,1.0,578.0,15282.0,23956650.21,42,4,4,2,0,2020,2025,17,26,4.333333333333333,174.0479077184621
ILOCOS SUR,1,218682.0,808805.0,20.0,0.0,4.0,2760.0,28197.0,84569627.11999999,24,0,6,4,1,2021,2025,15,24,4.8,386.7242256792968
ILOILO,6,736911.0,2854799.0,17.0,0.0,0.0,5103.0,103453.0,216124652.9,205,104,15,35,3,2020,2025,18,27,4.5,293.28460682497615
ISABELA,2,169770.0,634840.0,0.0,0.0,0.0,412.0,8579.0,87559243.16,104,4,16,28,19,2020,2024,18,27,5.4,515.7521538552159
ISABELA CITY,9,60.0,269.0,0.0,0.0,0.0,21.0,18.0,56116.5,1,0,1,1,0,2022,2025,3,8,2.0,935.275
KALINGA,CAR,6453.0,27852.0,2.0,4.0,0.0,15.0,597.0,6266830.75,19,16,6,6,0,2020,2025,12,23,3.8333333333333335,971.1499690066636
LA UNION,1,323950.0,1087313.0,3.0,1.0,5.0,3740.0,52972.0,178185593.58,37,5,9,5,3,2021,2025,16,25,5.0,550.0404185213768
LAGUNA,4A,401506.0,1710734.0,2.0,1.0,0.0,1880.0,20272.0,84942702.03999999,2,7,7,0,0,2020,2025,15,20,3.3333333333333335,211.56023083092157
LANAO DEL NORTE,10,6046.0,29258.0,0.0,1.0,0.0,121.0,1193.0,2952385.68,8,0,1,8,8,2021,2025,6,13,2.6,488.3204895798876
LANAO DEL SUR,BARMM,23735.0,112751.0,0.0,0.0,0.0,113.0,233.0,0.0,0,0,0,0,0,2021,2025,5,9,1.8,0.0
LEYTE,8,297524.0,1134022.0,155.0,22.0,1.0,17525.0,77914.0,65907285.73,30,11,10,8,5,2021,2024,8,12,3.0,221.5192244323147
MAGUINDANAO,BARMM,277774.0,1388101.0,65.0,164.0,13.0,1064.0,1187.0,0.0,19,0,7,5,7,2021,2025,5,11,2.2,0.0
MAGUINDANAO DEL NORTE,BARMM,22464.0,112195.0,0.0,0.0,0.0,0.0,5.0,0.0,0,0,0,0,0,2024,2024,1,2,2.0,0.0
MAGUINDANAO DEL SUR,BARMM,77610.0,388048.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2024,2024,1,2,2.0,0.0
MARINDUQUE,4B,70545.0,261695.0,7.0,14.0,1.0,948.0,17987.0,21625183.4,17,0,8,8,2,2020,2025,12,16,2.6666666666666665,306.54452335388754
MASBATE,5,90852.0,347778.0,3.0,0.0,0.0,778.0,7330.0,12508274.67,9,5,1,1,0,2020,2025,15,21,3.5,137.67748282921676
MISAMIS OCCIDENTAL,10,1978.0,7031.0,1.0,1.0,0.0,9.0,47.0,339030.0,1,0,1,1,0,2021,2024,5,9,2.25,171.40040444893833
MISAMIS ORIENTAL,10,44060.0,156495.0,5.0,25.0,0.0,522.0,4568.0,8142863.76,7,0,4,1,5,2021,2025,10,18,3.6,184.81306763504313
MOUNTAIN PROVINCE,CAR,6404.0,24757.0,2.0,8.0,0.0,13.0,428.0,2044515.27,27,7,8,6,1,2020,2025,17,29,4.833333333333333,319.2559759525297
NAGA,5,80811.0,326252.0,0.0,0.0,0.0,121.0,3850.0,44475908.14,3,3,0,0,0,2022,2025,5,11,2.75,550.369481134994
NCR,NCR,685964.0,2730661.0,0.0,0.0,0.0,20.0,0.0,378434130.36,38,2,0,0,0,2020,2025,15,22,3.6666666666666665,551.682202506254
NEGROS OCCIDENTAL,6,716439.0,2803452.0,53.0,173.0,7.0,48543.0,285144.0,226606349.75,119,57,22,23,1,2020,2025,17,26,4.333333333333333,316.29538558062865
NEGROS ORIENTAL,6,6.0,503.0,0.0,0.0,0.0,0.0,0.0,306830.0,0,0,0,0,0,2025,2025,1,3,3.0,51138.333333333336
NEGROS ORIENTAL,7,156293.0,534635.0,66.0,91.0,6.0,24412.0,109147.0,65148888.0,27,0,0,0,0,2020,2024,7,12,2.4,416.8381693357988
NORTHERN SAMAR,8,307804.0,1218796.0,1.0,74.0,0.0,5293.0,43178.0,49610127.92,35,2,5,7,8,2020,2024,8,11,2.2,161.17440942937714
NUEVA ECIJA,3,377721.0,1417983.0,0.0,26.0,0.0,42.0,237.0,66205636.41,21,0,2,1,0,2020,2025,12,18,3.0,175.2765570619584
NUEVA VIZCAYA,2,16448.0,58666.0,2.0,1.0,1.0,564.0,5132.0,11205706.89,34,2,0,3,1,2020,2025,16,26,4.333333333333333,681.2808177285992
OCCIDENTAL MINDORO,4B,118675.0,519557.0,4.0,0.0,3.0,1855.0,5888.0,47571128.160000004,45,1,5,5,1,2020,2025,16,26,4.333333333333333,400.8521437539499
OLONGAPO,3,725.0,3468.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2021,2024,2,3,0.75,0.0
ORIENTAL MINDORO,4B,153688.0,665560.0,2.0,4.0,0.0,3690.0,36518.0,65266452.53,49,5,8,6,8,2020,2025,16,24,4.0,424.66850066368227
PALAWAN,4B,193813.0,699143.0,29.0,3.0,4.0,15660.0,75300.0,477540047.94,57,8,8,9,9,2020,2025,16,26,4.333333333333333,2463.9216561324574
PAMPANGA,3,1218753.0,4273937.0,2.0,1.0,0.0,56.0,123.0,60340166.07,27,2,6,1,0,2020,2025,18,29,4.833333333333333,49.5097579821342
PANGASINAN,1,770923.0,2981703.0,6.0,0.0,0.0,6797.0,60747.0,241005894.65,52,3,8,9,0,2021,2025,16,25,5.0,312.6199304599811
QUEZON,4A,370340.0,1393238.0,5.0,3.0,0.0,2427.0,32350.0,69236773.74,9,11,2,0,0,2020,2025,14,18,3.0,186.95461937678888
QUIRINO,2,72499.0,287861.0,0.0,0.0,0.0,19.0,408.0,50567132.400000006,25,0,3,5,5,2020,2024,9,16,3.2,697.4873087904662
RIZAL,4A,172457.0,716944.0,7.0,0.0,0.0,400.0,1030.0,111238158.38,9,3,11,0,0,2020,2025,15,22,3.6666666666666665,645.0196766730257
ROMBLON,4B,16720.0,66386.0,6.0,0.0,0.0,55.0,1233.0,6715791.2,27,0,3,1,1,2020,2025,14,22,3.6666666666666665,401.6621531100479
SAMAR,8,143646.0,575751.0,0.0,13.0,0.0,249.0,5120.0,33515924.35,25,0,0,0,0,2020,2024,10,13,2.6,233.32306050986455
SARANGANI,12,8408.0,36172.0,0.0,7.0,0.0,154.0,893.0,5005500.0,1,6,0,0,0,2022,2025,6,13,3.25,595.3258801141769
SIQUIJOR,7,4779.0,16688.0,0.0,0.0,0.0,158.0,4516.0,19520.0,7,0,0,0,0,2021,2024,3,7,1.75,4.084536513915045
SORSOGON,5,257441.0,1019687.0,3.0,8.0,0.0,1490.0,26184.0,51113102.730000004,37,1,3,1,1,2020,2025,15,23,3.8333333333333335,198.5429777308199
SOUTH COTABATO,12,4613.0,22814.0,0.0,0.0,0.0,24.0,323.0,740540.0,2,1,0,0,0,2021,2025,6,10,2.0,160.53327552568828
SOUTHERN LEYTE,8,130362.0,508176.0,18.0,94.0,4.0,35027.0,65670.0,133530313.99,25,19,20,20,16,2021,2024,7,9,2.25,1024.3039688712968
SULTAN KUDARAT,12,60641.0,296654.0,2.0,10.0,0.0,350.0,916.0,20000019.46,7,3,1,0,1,2022,2025,6,13,3.25,329.81018551804885
SULU,BARMM,225.0,1289.0,1.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2022,2022,1,1,1.0,0.0
SURIGAO DEL NORTE,CARAGA,181322.0,677806.0,19.0,374.0,0.0,47993.0,69983.0,358527676.48,1,12,0,0,0,2021,2025,8,11,2.2,1977.298267612314
SURIGAO DEL SUR,CARAGA,166457.0,628764.0,0.0,4.0,0.0,368.0,9690.0,27613763.18,11,0,0,0,0,2021,2024,5,6,1.5,165.89127029803493
TARLAC,3,129509.0,467250.0,0.0,0.0,0.0,21.0,47.0,16133023.47,12,0,1,0,0,2020,2025,12,19,3.1666666666666665,124.57067439328542
TAWI TAWI,BARMM,323.0,1615.0,0.0,0.0,0.0,134.0,103.0,0.0,0,0,0,0,0,2025,2025,2,4,4.0,0.0
ZAMBALES,3,53287.0,176692.0,2.0,4.0,0.0,165.0,302.0,16125246.3,19,0,1,0,1,2020,2025,18,29,4.833333333333333,302.61126165856587
ZAMBOANGA CITY,9,21043.0,96666.0,7.0,0.0,0.0,315.0,361.0,13865559.72,2,1,0,1,0,2021,2025,6,12,2.4,658.9155405598061
ZAMBOANGA DEL NORTE,9,50371.0,233216.0,0.0,1.0,0.0,118.0,185.0,4355621.0,7,1,0,1,0,2021,2025,6,13,2.6,86.47080661491731
ZAMBOANGA DEL SUR,9,4694.0,19519.0,0.0,0.0,0.0,70.0,222.0,397129.4,2,0,2,1,0,2021,2025,6,13,2.6,84.60362164465275
ZAMBOANGA SIBUGAY,9,1030.0,4093.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2024,2025,3,9,4.5,0.0
